CaseID	VehicleNumber	GVEMake	GVEModel	GVEYear	GVEBodyType	GVEVehicleClass	GVECurbWeight	GVEWeightSource	GVECargoWeight	GVECargoSource	GVEVIN	GVESpecialUse	GVEInspection	GVEInspectionDate	GVEPARSevCode	GVERESSevCode	VINMake	VINModel	VINYear	Series	VINBodyType	Roof1	Roof2	Roof3	FrontWheelDrive	FourWheelDrive	GVERestraintType	Carburetion	FuelType	VINWeight	VehicleType	WheelConfig	DayRunningLights	BaseWeight	GVEMotorcycleDisplacement	GVETravelSpeed	GVEPostedSpeed	DriverPresent	PARAlcoholPresent	PARAlcoholTest	PARAlcoholTestResult	PARTestDelay	PARTestSource	PARDrugsPresent	ZipCode	EthnicOrigin	CMVCrashes	CMVViolations	NonCMVCrashes	NonCMVViolations	TotalCrashes	GVETotalViolations	PrevViolations	UnkTypeCrashes	MCMIScrashes	MCMIScmvViolations	MCMIScmvNonViolations	PSU	PSUStrata	RATWeight
329006004	3	82	881	1998	63	60	11340	99	0	99	2FVNFSEB2W	88	3	2003-06-01	0	0	FRHT	CON	1998	FLD	TM	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	64	Unknown	9999	88888887	0	80	1	0	96	9999	97:97	0	0	08527	1	88	3	88	2	88	5	4	88	0	4	1	4	3	53.409
329006005	1	12	461	1992	21	21	2028	3	999999	0	1FTDE14Y7N	0	2	2003-06-01	3	2	FORD	VAN	1992	15V	CG	None/not available	Unknown	Unknown	8	8	Unknown	888	Gas	1	Truck	42	Not available	9999	88888887	9999	64	1	0	96	9999	97:97	0	0	08701	1	88	0	88	3	88	3	0	88	88	88	88	4	3	34.364
329006005	2	87	881	1981	63	60	8098	99	0	99	1XP3D20X1B	88	3	2003-06-01	0	0	PTRB	CON	1981	353	DS	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	64	Unknown	9999	88888887	9999	64	1	0	96	9999	97:97	0	0	08527	1	88	88	88	88	88	0	88	88	0	4	0	4	3	34.364
329006024	1	49	40	1998	4	3	1400	2	0	1	4T1BF28KXW	0	2	2003-06-01	2	2	TOYT	UEX	1998	888	4D	None/not available	Power sun/moon roof	Unknown	Y	N	Dual air bags front and sides/active belts	F	Gas	0	Passenger Vehicle	999	Not available	3086	88888887	9999	72	1	0	96	9999	97:97	0	7	08753	1	98	98	98	98	98	98	98	98	98	98	98	4	3	34.364
329006024	2	84	881	1995	63	60	999999	0	6750	99	1HTSDAAN7S	88	3	2003-06-01	3	2	INTL	40S	1995	490	CC	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	7	Truck	42	Unknown	9999	88888887	9999	72	1	0	0	0	99:99	1	7	08758	1	88	0	88	0	88	0	1	88	0	11	1	4	3	34.364
329006101	1	98	808	2000	68	68	5443	99	454	99	2FWWHMDBXY	88	3	2003-07-01	2	2	STRG	STE	2000	A90	DS	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	42	Unknown	9999	88888887	9999	64	1	0	96	9999	97:97	0	7	19125	1	88	0	88	2	88	3	0	88	0	9	0	4	3	34.364
329006242	1	37	32	1989	4	2	1140	8	0	1	1HGCA5633K	0	2	2003-08-01	4	4	HOND	ULX	1989	888	4D	None/not available	Unknown	Unknown	Y	N	Active (manual) belts	2	Gas	0	Passenger Vehicle	999	Not available	2504	88888887	9999	80	1	0	96	9999	97:97	0	0	08701	1	98	98	98	98	98	98	98	98	98	98	98	4	3	22.769
329006242	2	63	401	2000	14	14	1524	3	0	1	KNDJA7235Y	0	2	2003-08-01	0	0	KIA	SPO	2000	SPO	4W	None/not available	Unknown	Unknown	8	8	Dual front air bags/active belts	888	Gas	1	Truck	44	Not available	9999	88888887	9999	80	1	0	96	9999	97:97	0	0	07109	1	88	0	88	0	88	0	1	88	88	88	88	4	3	22.769
329006242	3	84	881	1995	68	68	6804	99	999999	0	2HSFHAER6S	88	3	2003-08-01	0	0	INTL	90S	1995	940	TM	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	64	Unknown	9999	88888887	9999	80	1	0	0	0	99:99	1	0	19142	2	88	0	88	0	88	1	1	88	0	1	1	4	3	22.769
329006341	1	85	881	1999	63	60	999999	0	999999	0	1NKWLB0X3X	88	3	2003-09-01	1	2	KW	CON	1999	W90	TM	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	64	Unknown	9999	88888887	9999	72	1	0	96	9999	99:99	0	0	19054	1	88	0	88	0	88	0	4	88	0	2	0	4	3	34.364
