CaseID	Stratum	EventSequence	VehicleNumber	ClassVehicle	DamageArea	EVEObjectContact	ClassVehicle2	DamageArea2	PSU	PSUStrata	RATWeight
350006594	S	5	1	2	L	54	0	0	79	10	12.701
350006629	S	1	1	3	F	2	68	B	79	10	2.424
350006669	S	1	1	68	L	54	0	0	79	10	12.701
350006669	S	2	1	68	L	31	0	N	79	10	12.701
350006709	S	1	1	2	F	2	60	B	79	10	6.74
350006709	S	2	1	2	F	63	0	0	79	10	6.74
350006774	S	1	1	3	F	2	45	R	79	10	6.74
350006774	S	2	1	3	L	2	45	R	79	10	6.74
350006774	S	3	1	3	F	3	68	L	79	10	6.74
350006794	S	1	3	67	L	1	3	R	79	10	12.701
350006794	S	2	1	3	F	54	0	0	79	10	12.701
350006794	S	3	3	67	F	54	0	0	79	10	12.701
350006794	S	4	3	67	R	31	0	N	79	10	12.701
350006794	S	5	2	29	L	98	0	0	79	10	12.701
350006854	S	1	1	31	F	2	68	B	79	10	6.74
350006854	S	2	1	31	F	54	0	0	79	10	6.74
350006860	S	1	2	60	L	1	60	R	79	10	6.74
350006860	S	2	2	60	F	1	60	B	79	10	6.74
350006975	S	1	1	68	R	31	0	N	79	10	2.424
350006975	S	2	1	68	T	56	0	0	79	10	2.424
350007035	S	1	3	15	L	56	0	0	79	10	12.701
350007035	S	2	4	68	F	56	0	0	79	10	12.701
350007035	S	3	4	68	F	56	0	0	79	10	12.701
350007035	S	4	1	3	F	98	0	0	79	10	12.701
350007035	S	5	2	15	L	98	0	0	79	10	12.701
350007075	S	1	1	2	F	2	60	L	79	10	6.74
350007075	S	2	1	2	R	2	60	F	79	10	6.74
350007076	S	1	1	31	F	88	0	0	79	10	12.701
350007076	S	2	1	31	R	31	0	N	79	10	12.701
350007076	S	3	2	68	F	1	31	U	79	10	12.701
350007076	S	4	2	68	N	34	0	N	79	10	12.701
350007076	S	5	2	68	L	31	0	N	79	10	12.701
350007076	S	6	2	68	F	63	0	0	79	10	12.701
350007076	S	7	2	68	F	57	0	0	79	10	12.701
350007155	S	1	1	3	F	2	2	F	79	10	2.424
350007155	S	2	1	3	F	54	0	0	79	10	2.424
350007155	S	3	2	2	L	3	68	F	79	10	2.424
350007155	S	4	2	2	N	33	0	N	79	10	2.424
350007155	S	5	3	68	R	31	0	N	79	10	2.424
350007155	S	6	3	68	R	54	0	0	79	10	2.424
350007220	S	1	4	68	N	35	0	N	79	10	12.701
350007220	S	2	4	68	N	35	0	N	79	10	12.701
350007220	S	3	4	68	N	38	0	N	79	10	12.701
350007220	S	4	3	68	N	34	0	N	79	10	12.701
350007220	S	5	3	68	F	54	0	0	79	10	12.701
350007220	S	6	3	68	R	54	0	0	79	10	12.701
