CaseID	VehicleNumber	EventNumber	PositionNumber	DCType	ObjectContactClass	CDCObjectContact	ForceDirection	ClockForce	OverrideDesc	DeformLocation	DeformLong	DeformVertical	DeformDistribution	DeformExtent	DeformCode	ImpactNumber	DamageLocation	FieldLocation	MaxCrushLocation	CDCCategory	CDCWidth	PSU	PSUStrata	RATWeight
345006948	3	6	1	T	1	2	999	99	1	L	9 Unknown	9 Unknown	9	Unknown	99L99999	3	left	left	L front	1	9999	74	4	34.412
345006948	4	2	1	T	1	1	0	12	1	F	L Left - front or rear	L Low - top of frame, frame, and bottom of frame	W	One	12FLLW01	1	71 FROM AND INCLUDING LEFT CORNER OF FRONT BUMPER	FRONT BUMPER	35 CM FROM LEFT CORNER	2	71	74	4	34.412
345006948	4	3	2	T	1	3	190	6	1	L	T Trailer	L Low - top of frame, frame, and bottom of frame	S	0A	06LTLS0A	2	Left 560CM FROM CENTER OF REAR DUALS ON CAB	560 FROM CENTER OF REAR DUALS ON CAB	MID LOWER TRAILER	1	390	74	4	34.412
345006948	5	1	1	T	1	1	999	99	1	9	9 Unknown	9 Unknown	9	Unknown	99999999	9	Not Collected	Not Collected	Not Collected	97	9997	74	4	34.412
345007028	1	1	1	T	1	1	260	9	1	L	D Distributed - side or end	A All	W	Six	09LDAW06	1	Entire left side	Beginning at LF bumper corner	C3	1	444	74	4	5.83
345007028	2	1	1	T	1	1	0	12	1	F	D Distributed - side or end	A Top to Bottom of vehicle / no wheels	W	Six	12FDAW06	1	182 CM ACROSS BUMPER FROM RIGHT	WHOLE FRONT BUMPER	RIGHT CORNER	2	182	74	4	5.83
345007029	1	1	1	T	1	1	80	3	1	R	Z Side (P + B) OR End (C + R)	E Everything below belt line	W	Three	03RZEW03	1	RIGHT 195 BEHIND RIGHT FRONT AXLE	151 BEHIND RIGHT FRONT AXLE	261 BEHIND RIGHT FRONT AXLE	1	148	74	4	34.412
345007029	1	2	1	T	1	1	230	8	1	B	Y Side (F + P) OR End (L + C)	E Everything below belt line	W	Two	08BYEW02	2	66 FROM LEFT REAR BUMPER CORNER	WHOLE REAR BUMPER	RIGHT REAR BUMPER CORNER	2	66	74	4	34.412
345007029	2	2	1	T	1	1	0	12	1	F	Z Side (P + B) OR End (C + R)	E Everything below belt line	W	One	12FZEW01	1	STARTS 33 FROM RIGHT CORNER	WHOLE BUMPER	45 CM FROM RIGHT CORNER	2	50	74	4	34.412
345007029	3	1	1	T	1	1	0	12	1	F	Z Side (P + B) OR End (C + R)	E belt line and below	W	Two	12FZEW02	1	150 ACROSS BUMPER FROM RIGHT SIDE	WHOLE FRONT BUMPER	RIGHT BUMPER CORNER	2	150	74	4	34.412
347006372	1	1	1	T	1	1	170	6	1	R	F Side Front - left or right	E Everything below belt line	W	Three	06RFEW03	1	70 cm fwd of RF axle to 45 cm aft	70 cm fwd of RF axle to 45 cm aft	RFBC	1	115	75	11	127.287
347006372	1	2	1	T	1	1	300	10	1	L	Z Side (P + B) OR End (C + R)	A All	W	Nine	10LZAW09	2	71 cm aft of LR axle to 32 cm fwd	71 cm aft of LR axle to 56 cm fwd	LRBC	1	9999	75	11	127.287
347006372	2	1	1	T	1	1	350	12	1	F	L Left - front or rear	L Low - top of frame, frame, and bottom of frame	E	One	12FLLE01	1	LFBC to 10 cm right	BC to BC	LFBC	2	10	75	11	127.287
347006372	2	2	1	T	1	1	350	12	1	L	D Distributed - side or end	L Low - top of frame, frame, and bottom of frame	W	Two	12LDLW02	2	65 cm aft of LF axle to 810 cm aft	65 cm aft of LF axle to 810 cm aft	Gas tank	1	810	75	11	127.287
347006452	1	1	1	T	1	1	50	2	1	F	Z Side (P + B) OR End (C + R)	E Everything below belt line	W	Four	02FZEW04	1	RFBC to 51 cm left	BC to BC	28cm left of RFBC	2	51	75	11	67.552
347006452	2	1	1	T	1	1	350	12	1	F	L Left - front or rear	E belt line and below	9	Two	12FLE902	1	LFBC right unknown	LFBC right unknown	LFBC	2	9999	75	11	67.552
347006512	1	1	1	T	1	1	190	6	1	B	Y Side (F + P) OR End (L + C)	A All	W	Seven	06BYAW07	1	At left rear bumper corner	All back	C1	2	76	75	11	127.287
347006512	1	2	1	T	3	50	0	12	1	F	9 Unknown	9 Unknown	9	Unknown	12F99999	2	Front - no direct damage found	BC to BC	Unknown	2	9999	75	11	127.287
347006512	2	1	1	T	1	1	0	12	1	F	Z Side (P + B) OR End (C + R)	E belt line and below	W	Two	12FZEW02	1	RFBC to 99 cm left	BC to BC	RFBC	2	99	75	11	127.287
347006714	1	1	1	T	1	1	0	12	11	F	Z Side (P + B) OR End (C + R)	A All	W	Six	12FZAW06	1	RFBC to 62 cm left	BC to BC	RFBC	2	62	75	11	127.287
347006714	2	1	2	T	1	1	190	6	14	B	L Left - front or rear	F Belt line/below on trailer	W	0A	06BLFW0A	1	LRBC to 97 cm right	RBC to RBC	LRBC	2	97	75	11	127.287
347006973	1	1	1	T	1	1	0	12	11	F	D Distributed - side or end	A All	W	Seven	12FDAW07	1	BC to BC	BC to BC	LFBC	2	130	75	11	24.292
347006973	2	1	1	T	1	1	0	12	14	F	Y Side (F + P) OR End (L + C)	E belt line and below	W	One	12FYEW01	1	LFBC to 79 cm right	BC to BC	LFBC	2	79	75	11	24.292
347006976	1	1	1	T	1	1	180	6	4	B	Y Side (F + P) OR End (L + C)	A All	W	Three	06BYAW03	1	BK LBC	BK BC TO BC	11 cm rt of C1	2	94	75	11	127.287
347006976	1	2	1	T	2	31	888	0	1	T	D Distributed - (F+P+B)	D Distributed	O	Three	00TDDO03	2	ft rt fender corner	roof and hood	ft rt roof corner at a pillar	3	406	75	11	127.287
347006976	2	1	1	T	1	1	0	12	1	F	Z Side (P + B) OR End (C + R)	E belt line and below	W	Two	12FZEW02	1	At right BC	All front	C6	2	128	75	11	127.287
348006225	1	4	1	T	3	54	999	99	1	9	9 Unknown	9 Unknown	9	Unknown	99999999	1	unknown	unknown	unknown	2	9999	76	12	64.704
348006225	2	1	1	T	2	31	888	0	1	L	9 Unknown	9 Unknown	O	Unknown	00L99O99	9	Not Collected	Not Collected	Not Collected	97	9997	76	12	64.704
348006225	2	2	1	T	3	54	888	0	1	9	9 Unknown	9 Unknown	9	Unknown	00999999	9	Not Collected	Not Collected	Not Collected	97	9997	76	12	64.704
348006225	2	6	1	T	3	56	888	0	1	9	9 Unknown	9 Unknown	9	Unknown	00999999	9	Not Collected	Not Collected	Not Collected	97	9997	76	12	64.704
348006226	1	2	1	T	5	88	350	12	1	F	D Distributed - side or end	A All	W	Seven	12FDAW07	1	Begins LFBC runs right 135 cm	LFBC to RFBC	C4	2	135	76	12	64.704
348006226	1	3	1	T	3	56	999	99	1	B	9 Unknown	9 Unknown	9	Unknown	99B99999	2	unknown	unknown	unknown	2	9999	76	12	64.704
348006226	2	4	1	T	5	88	350	12	1	F	Z Side (P + B) OR End (C + R)	L Frame -- top of frame,frame, bottom of frame	W	One	12FZLW01	1	Begins RFBC runs left 86 cm	LFBC to RFBC	C3 location	2	86	76	12	64.704
348006226	3	1	2	T	3	61	888	0	1	L	T Trailer	W Below undercarriage level ( wheels and tires onl	N	0A	00LTWN0A	1	Left Axle #5 wheel rim	Left axle #5 wheel rim	rim scuff damage	1	9999	76	12	64.704
348006445	1	1	1	T	2	31	888	0	1	L	D Distributed - side or end	A Top to Bottom of vehicle / no wheels	O	Two	00LDAO02	1	Begins 200cm rear of LFBC and rearward	Begs LFBC runs rearward	16cm max crush 245 crm from LFBC	1	9999	76	12	179.933
348006445	1	2	1	T	3	56	888	0	1	T	P Center Section	L Left	W	Two	00TPLW02	2	Begins Left top A pillar corner runs 45cm rearward	Left front A pillar rearward 125cm	5cm at left A pillar corner	3	45	76	12	179.933
348006785	1	1	1	T	1	1	320	11	4	F	9 Unknown	A All	W	Nine	11F9AW09	3	Front plane,  RF BC	BC to BC	RFBC	2	9999	76	12	64.704
348006785	1	2	1	T	2	31	888	0	1	T	9 Unknown	9 Unknown	O	Unknown	00T99O99	2	unknown	unknown	unknown	3	9999	76	12	64.704
348006785	1	3	1	T	3	45	999	99	1	9	9 Unknown	9 Unknown	9	Unknown	99999999	4	unknown	unknown	unknown	99	9999	76	12	64.704
348006785	2	1	1	T	1	1	350	12	14	F	9 Unknown	9 Unknown	9	Unknown	12F99999	1	Front plane unknown length	LFC to RFBC	unknown	2	9999	76	12	64.704
348006785	2	4	1	T	3	57	0	12	1	F	9 Unknown	9 Unknown	9	Unknown	12F99999	2	Front plane	unknown	unknown	2	9999	76	12	64.704
348006785	2	5	1	T	3	51	0	12	1	F	9 Unknown	9 Unknown	9	Unknown	12F99999	3	Front unknown length	unknown	unknown	2	9999	76	12	64.704
348006785	2	6	1	T	3	60	888	0	1	U	F Front Section	D Distributed	9	Unknown	00UFD999	4	undercarriage	unknown	unknown	2	9999	76	12	64.704
348006908	1	1	1	T	2	31	888	0	1	T	D Distributed - (F+P+B)	D Distributed	O	Seven	00TDDO07	1	top	NA / rollover	un known	3	9999	76	12	179.933
348006908	1	2	1	T	3	56	888	0	1	T	9 Unknown	9 Unknown	9	Unknown	00T99999	2	top	unknown	unknown	3	9999	76	12	179.933
349006463	1	2	1	T	1	1	30	1	1	F	R Right - front or rear	E Everything below belt line	W	Four	01FREW04	1	from 21cm aft to 93cm fwrd RF axle=114	from 21cm aft to 93cm fwrd of RF axle=114cm	>60cm	2	9999	78	12	260.223
349006463	2	2	2	T	1	1	999	99	1	L	T Trailer	L Low - top of frame, frame, and bottom of frame	9	Unknown	99LTL999	1	no inspection/unk	no inspection	unknown	1	9999	78	12	260.223
349006502	1	1	1	T	3	50	280	9	1	L	9 Unknown	E belt line and below	N	One	09L9EN01	1	unknown masked damages	unknown masked damages	unk	1	9999	78	12	49.662
349006502	1	2	1	T	2	31	888	0	1	T	D Distributed - (F+P+B)	D Distributed	O	Six	00TDDO06	2	distributed rollover damages	distributed rollover damages	unk	3	9999	78	12	49.662
349006502	1	3	1	T	3	56	888	0	1	F	9 Unknown	9 Unknown	9	Unknown	00F99999	3	unknown masked damages	unknown masked damages	unk	2	9999	78	12	49.662
349006522	1	1	1	T	1	1	350	12	1	F	L Left - front or rear	A All	W	Nine	12FLAW09	1	c1  right to 60cm=60cm	uew=180cm	>80cm	2	60	78	12	49.662
349006522	2	1	1	T	1	1	350	12	1	F	Y Side (F + P) OR End (L + C)	E belt line and below	W	Unknown	12FYEW99	1	C1 right to 200cm	entire bumper width	180	2	200	78	12	49.662
349006705	1	1	1	T	3	57	10	12	1	F	L Left - front or rear	9 Unknown	9	Unknown	12FL9999	1	unable to separate damages	unable to separate damages	?	2	9999	78	12	138.103
349006705	1	2	1	T	3	68	350	12	1	F	9 Unknown	9 Unknown	9	Unknown	12F99999	2	unable to separate damages	unable to separate damages	?	2	9999	78	12	138.103
349006705	1	3	1	T	3	44	888	0	1	F	D Distributed - side or end	E belt line and below	W	Unknown	00FDEW99	3	non horizontal impact damages	non horizontal impact damages	?	2	9999	78	12	138.103
349006705	1	4	1	T	2	34	999	13	1	C	D Distributed - side or end	H Top of frame to top of vehicle	W	Unknown	13CDHW99	4	jackknife/back of cab & front of trailer	unknown	unknown	2	9999	78	12	138.103
349006705	1	4	2	T	2	34	999	13	1	V	D Distributed - side or end	A Top to Bottom of vehicle / no wheels	W	0B	13VDAW0B	9	Not Collected	Not Collected	Not Collected	97	9997	78	12	138.103
349006784	1	1	1	T	1	1	10	12	1	F	R Right - front or rear	A Top to Bottom of vehicle / no wheels	W	Five	12FRAW05	1	appox.80cm	entire UEW=240cm	>99	2	80	78	12	260.223
349006784	2	1	2	T	1	1	180	6	1	B	L Left - front or rear	A Top to Bottom of vehicle / no wheels	W	0C	06BLAW0C	1	damage to trailer rear only=70cm	entire back plane=260cm	56cm	2	70	78	12	260.223
349006802	1	1	1	T	1	1	350	12	11	F	Y Side (F + P) OR End (L + C)	A All	A	Eight	12FYAA08	1	LF bc-right to-80cm	entire UEW=152cm	@C1	2	80	78	12	49.662
349006802	2	1	1	T	1	1	180	6	14	B	R Right - front or rear	L Low - top of frame, frame, and bottom of frame	W	0A	06BRLW0A	1	LR bed-to-90cm left	entire back UEW=240cm	@C6	2	90	78	12	49.662
349006823	1	1	1	T	5	88	350	12	1	F	Z Side (P + B) OR End (C + R)	A Top to Bottom of vehicle / no wheels	W	Four	12FZAW04	1	begins 55cm right of centerline=63cm	entire overall width	@C6	2	63	78	12	260.223
349006823	1	2	1	T	2	34	999	13	1	C	L Left - front or rear	H Top of frame to top of vehicle	E	Seven	13CLHE07	2	LR back of cab jacknife damage	LR corner of cab	@C1	2	9999	78	12	260.223
349006823	1	2	2	T	2	34	999	13	1	V	L Left - front or rear	A Top to Bottom of vehicle / no wheels	E	0A	13VLAE0A	4	front trailer jacknife damage	LF corner of trailer	unk	2	9999	78	12	260.223
349006823	1	3	1	T	2	31	888	0	1	T	D Distributed - (F+P+B)	D Distributed	O	Four	00TDDO04	3	rollover damages	distributed rollover damages	top	3	9999	78	12	260.223
349006982	1	1	1	T	5	72	10	12	1	F	R Right - front or rear	E belt line and below	W	One	12FREW01	1	from 66cm right of center to BC=50cm	entire UEW=233cm	@C6	2	50	78	12	49.662
349007022	1	1	1	T	1	1	50	2	1	R	Z Side (P + B) OR End (C + R)	A All	W	Three	02RZAW03	1	from RR bc frwd 192cm=192cm	192cm	@C3	1	192	78	12	138.103
349007022	2	1	1	T	1	1	20	1	1	F	Z Side (P + B) OR End (C + R)	E belt line and below	W	Two	01FZEW02	1	from C6 left to 114cm=114cm	UEW from Bc-to-Bc =228cm	@C6	2	114	78	12	138.103
349007162	1	1	1	T	5	72	0	12	1	F	Z Side (P + B) OR End (C + R)	E belt line and below	W	One	12FZEW01	1	from RF bc-57cm left=57cm	entire UEW=220cm	@C6	2	57	78	12	138.103
349007162	1	2	1	T	2	34	999	13	1	C	L Left - front or rear	H Top of frame to top of vehicle	E	One	13CLHE01	2	jacknife- LF corner trailer - LR corner tractor	jacknife- LF corner trailer - LR corner tractor	unknown	2	40	78	12	138.103
349007162	1	2	2	T	2	34	999	13	1	V	L Left - front or rear	A Top to Bottom of vehicle / no wheels	E	0A	13VLAE0A	9	Not Collected	Not Collected	Not Collected	97	9997	78	12	138.103
349007162	1	3	1	T	5	71	50	2	1	R	F Side Front - frontof windshield	E belt line and below	W	One	02RFEW01	3	RF bc -to 50cm aft	bc-aft to 50cm	@C6	1	50	78	12	138.103
350006509	1	1	1	T	1	1	40	1	4	F	Z Side (P + B) OR End (C + R)	A All	W	Six	01FZAW06	3	Begins RF corner inward	entire front	C6	2	70	79	10	6.74
350006509	1	2	1	T	1	1	90	3	1	R	B Side Rear - left or right	E Everything below belt line	9	Unknown	03RBE999	2	Back right of vehicle	Back right of vehicle	unknown	1	9999	79	10	6.74
350006509	2	1	1	T	1	1	0	12	14	F	D Distributed - side or end	A Top to Bottom of vehicle / no wheels	W	Six	12FDAW06	1	Beg. RBC	BC to BC	96 cm right of LFBC	2	110	79	10	6.74
350006509	2	2	1	T	1	1	270	9	1	L	9 Unknown	9 Unknown	9	Unknown	09L99999	2	unknown on left side	unknown on left side	unknown on left side	1	9999	79	10	6.74
350006549	1	1	1	T	1	1	20	1	1	F	D Distributed - side or end	A All	W	Seven	01FDAW07	1	BC to BC	Not Applicable	LF BC	2	180	79	10	6.74
350006549	2	1	2	T	1	1	300	10	1	L	T Trailer	E belt line and below	W	0B	10LTEW0B	1	Beg. 3 m rear of 2nd axle	Not Applicable	4.2 m rear of 1st axle	1	580	79	10	6.74
350006594	1	4	1	T	1	3	10	12	1	R	Y Side (F + P) OR End (L + C)	E Everything below belt line	W	Three	12RYEW03	1	Beg. 47 cm fwd RR axle to 347 cm fwd	Beg. 47 cm fwd RR axle to 347 cm fwd	284 cm fwd RR axle	1	300	79	10	12.701
350006594	1	5	1	T	3	54	340	11	1	L	D Distributed - side or end	E Everything below belt line	S	Two	11LDES02	2	entire left side	entire left side	55 cm rear of LR axle	1	450	79	10	12.701
350006594	2	3	1	T	1	2	888	0	1	F	Y Side (F + P) OR End (L + C)	E Everything below belt line	W	Three	00FYEW03	1	LFBC to 65 cm right	BC to BC	33 cm right of LF BC	2	65	79	10	12.701
350006594	3	1	1	T	1	4	210	7	1	B	L Left - front or rear	A All	E	One	07BLAE01	1	Beg. LR BC	BC to BC	LR BC	2	28	79	10	12.701
350006594	3	2	1	T	2	31	888	0	1	T	D Distributed - (F+P+B)	D Distributed	O	Two	00TDDO02	3	rollover	rollover	left A-pillar (100 cm rear LF axle)	3	444	79	10	12.701
350006594	3	3	1	T	1	2	888	0	1	U	9 Unknown	9 Unknown	9	Unknown	00U99999	2	undercarriage	undercarriage	undercarriage	4	9999	79	10	12.701
350006594	3	4	1	T	1	3	0	12	1	F	Z Side (P + B) OR End (C + R)	E Everything below belt line	W	Two	12FZEW02	4	RFBC to 73 cm left	BC to BC	RFBC	2	73	79	10	12.701
350006594	4	1	1	T	1	4	0	12	1	F	R Right - front or rear	E belt line and below	W	One	12FREW01	1	RFBC to 80 cm left	BC to BC	57 cm left of RF BC	2	80	79	10	12.701
350006629	1	1	1	T	1	1	0	12	11	F	D Distributed - side or end	A All	A	Nine	12FDAA09	1	BC to BC	N/A	LF BC	2	140	79	10	2.424
350006629	2	1	2	T	1	1	180	6	14	B	Z Side (P + B) OR End (C + R)	L Low - top of frame, frame, and bottom of frame	W	0B	06BZLW0B	1	Beg. 103 cm right of LR trailer corner	N/A	right trailer corner	2	137	79	10	2.424
350006669	1	1	1	T	3	54	888	0	1	L	9 Unknown	9 Unknown	9	Unknown	00L99999	2	overlapping damage	overlapping damage	overlapping	1	9999	79	10	12.701
350006669	1	2	1	T	2	31	888	0	1	L	D Distributed - side or end	A Top to Bottom of vehicle / no wheels	O	Two	00LDAO02	1	Entire Left side	Entire Left side	4.4m forward of #4 axle	1	9999	79	10	12.701
350006709	1	1	1	T	1	1	0	12	1	F	D Distributed - side or end	E Everything below belt line	W	Three	12FDEW03	1	BC to BC	Not Applicable	70 cm left of LFBC	2	150	79	10	6.74
350006709	1	2	1	T	3	63	10	12	1	F	R Right - front or rear	W Below undercarriage level ( wheels and tires onl	N	Three	12FRWN03	2	wheel/axle damage	wheel/axle damage	Not Applicable	2	9999	79	10	6.74
350006709	2	1	1	T	1	1	180	6	1	B	Y Side (F + P) OR End (L + C)	L Low - top of frame, frame, and bottom of frame	W	One	06BYLW01	1	33 left of LR corner	Not Applicable	33 cm left of rear guard (LR corner)	2	95	79	10	6.74
350006774	1	1	1	T	1	1	350	12	1	F	L Left - front or rear	E Everything below belt line	E	One	12FLEE01	1	LFBC to 30 cm right	BC to BC	30 cm right of LFBC	2	30	79	10	6.74
350006774	1	2	1	T	1	1	270	9	1	L	D Distributed - side or end	A All	W	One	09LDAW01	2	LFBC to 448 cm aft	LFBC to 463 cm aft	60 cm rear LR axle	1	448	79	10	6.74
350006774	1	3	1	T	1	1	999	99	1	F	D Distributed - side or end	G Belt line and above	W	Nine	99FDGW09	3	Unknown	Unknown	Unknown	2	9999	79	10	6.74
350006774	2	1	1	T	1	1	160	5	1	R	P Side center section L or R	E Everything below belt line	W	One	05RPEW01	1	Unknown	Unknown	Unknown	2	9999	79	10	6.74
350006774	2	2	1	T	1	1	90	3	1	R	Z Side (P + B) OR End (C + R)	E Everything below belt line	W	One	03RZEW01	2	120 cm aft of RF axle to 480 cm aft	120 cm aft of RF axle to 480 cm aft	140 cm aft of RF axle	1	360	79	10	6.74
350006774	3	3	2	T	1	1	260	9	1	L	T Trailer	F Belt line/below on trailer	W	0A	09LTFW0A	1	Left 5th axle to 640 cm fwd	Left 5th axle to 640 cm fwd	260 cm fwd axle 4	1	640	79	10	6.74
350006794	1	1	1	T	1	3	90	3	1	R	F Side Front - left or right	E Everything below belt line	W	Three	03RFEW03	1	Beg. 5 cm fwd RF axle	N/A	40 cm fwd RF axle	1	70	79	10	12.701
