CaseID	VehicleNumber	LastSleepHours	LastSleepStart	LastSleepEnd	HoursSinceSleep	MainSleepHours	MainSleepStart	MainSleepEnd	HoursDriving	ADSHoursOnDuty	WeekLongest	WeekShortest	WeekAverage	Rotation	HoursWorked	ADSLongestDay	ADSShortestDay	ADSAverageDay	LastWeekHours	LastWeekMoonlight	PSU	PSUStrata	RATWeight
802003421	1	10:30	22:30	09:00	03:30	98:98	98:98	98:98	98:98	98:98	99:99	99:99	99:99	2	98:98	98:98	98:98	98:98	98:98	98:98	4	3	0
802003421	2	06:00	23:00	05:00	07:30	98:98	98:98	98:98	05:30	05:30	99:99	99:99	08:00	2	05:30	99:99	99:99	99:99	99:99	98:98	4	3	0
802003504	1	08:00	04:00	12:00	04:00	98:98	98:98	98:98	98:98	98:98	10:00	99:99	08:00	2	98:98	98:98	98:98	98:98	98:98	98:98	4	3	0
802003504	2	08:00	99:99	99:99	99:99	98:98	98:98	98:98	98:98	08:00	99:99	99:99	08:00	2	08:00	99:99	99:99	08:00	40:00	98:98	4	3	0
802003524	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	0
802003524	2	08:00	22:00	06:00	08:00	98:98	98:98	98:98	07:00	07:00	99:99	99:99	99:99	2	07:00	99:99	99:99	08:00	40:00	98:98	4	3	0
802003601	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	0
802003601	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	0
802003601	3	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	0
802003681	1	08:00	22:00	06:00	15:00	98:98	98:98	98:98	98:98	98:98	10:00	05:00	08:00	2	00:00	12:00	12:00	12:00	36:00	98:98	4	3	34.364
802003681	2	13:30	19:30	09:00	12:00	98:98	98:98	98:98	01:20	01:20	13:00	08:30	10:00	1	01:20	10:00	06:00	99:99	99:99	98:98	4	3	34.364
802004021	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
802004021	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
802004022	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
802004022	2	10:30	20:00	06:30	06:00	98:98	98:98	98:98	05:30	05:30	10:00	08:30	09:00	2	05:30	09:00	06:00	08:00	45:00	98:98	4	3	34.364
802004062	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
802004062	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
802004063	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	22.769
802004063	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	22.769
802004264	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	22.769
802004264	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	22.769
802004523	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	53.409
802004523	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	53.409
802004523	3	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	53.409
802004663	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
802004663	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
802004664	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
802004664	2	11:00	05:30	16:30	01:05	98:98	98:98	98:98	01:05	07:00	12:00	99:99	99:99	1	07:00	10:00	10:00	10:00	40:00	98:98	4	3	34.364
802004781	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	53.409
802004781	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	53.409
802004803	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	99:99	99:99	99:99	9	98:98	98:98	98:98	98:98	98:98	98:98	4	3	53.409
802004803	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	53.409
802005024	1	08:00	21:00	05:00	05:00	98:98	98:98	98:98	03:00	03:00	08:00	08:00	08:00	2	03:00	08:00	08:00	08:00	40:00	98:98	4	3	34.364
802005024	2	07:30	22:00	05:30	04:30	98:98	98:98	98:98	03:00	03:30	08:00	07:00	07:30	2	03:30	08:00	08:00	08:00	40:00	98:98	4	3	34.364
802005084	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	22.769
802005084	2	07:00	20:00	03:00	01:05	98:98	98:98	98:98	00:35	00:35	12:00	06:00	07:30	2	00:35	11:30	08:00	09:30	50:00	98:98	4	3	22.769
802005383	1	09:00	21:00	06:00	07:05	98:98	98:98	98:98	99:99	06:00	09:00	07:00	08:00	2	06:00	08:00	06:00	07:30	35:00	98:98	4	3	53.409
802005441	1	07:30	23:30	07:00	04:14	98:98	98:98	98:98	98:98	99:99	09:00	06:00	07:30	2	99:99	07:00	07:00	07:00	35:00	98:98	4	3	34.364
802005441	2	08:00	21:00	05:00	06:14	98:98	98:98	98:98	05:15	05:15	08:00	07:00	07:30	2	05:15	08:00	08:00	08:00	40:00	98:98	4	3	34.364
802005442	1	08:45	22:00	06:45	01:40	98:98	98:98	98:98	98:98	00:00	09:00	06:00	08:00	2	00:00	08:00	08:00	08:00	40:00	98:98	4	3	53.409
