CaseID	VehicleNumber	Axle	BrakeType	BRAPosition	ABSInstalled	ABSFunctional	AdjustorType	ChamberSize	ChamberType	StrokeType	LeftLength	RightLength	PSU	PSUStrata	RATWeight
332006211	1	3	1	1	99	99	99	9994	99	3	9994	9994	8	2	206.963
332006211	1	4	1	2	99	99	99	9994	99	3	9994	9994	8	2	206.963
332006211	1	5	1	2	99	99	99	9994	99	3	9994	9994	8	2	206.963
332006431	1	1	1	1	0	0	99	30	99	9	1.27	1.59	8	2	0
332006431	1	2	1	1	0	0	99	30	99	9	4.76	2.86	8	2	0
332006431	1	3	1	1	0	0	99	30	99	9	6.67	6.03	8	2	0
332006431	1	4	1	2	0	0	99	30	99	9	3.18	2.86	8	2	0
332006531	1	1	1	1	99	99	99	9999	99	9	9999	9999	8	2	137.133
332006531	1	2	1	1	99	99	99	9999	99	9	9999	9999	8	2	137.133
332006531	1	3	1	1	99	99	99	9999	99	9	9999	9999	8	2	137.133
332006531	1	4	1	1	99	99	99	9999	99	9	9999	9999	8	2	137.133
332006697	1	1	1	1	99	99	99	17.2	12	2	3.81	1.91	8	2	137.133
332006697	1	2	1	1	99	99	99	20.6	14	2	2.54	1.91	8	2	137.133
332006697	1	3	1	1	99	99	99	20.6	14	2	3.81	3.81	8	2	137.133
332006697	1	4	1	2	99	99	99	20.6	14	2	3.81	3.18	8	2	137.133
332006697	1	5	1	2	99	99	99	20.6	14	2	3.18	3.18	8	2	137.133
332006751	1	1	1	1	99	99	99	17.2	12	2	1.27	3.18	8	2	206.963
332006751	1	2	1	1	99	99	99	20.6	14	2	3.81	4.13	8	2	206.963
332006751	1	3	1	1	99	99	99	20.6	14	2	3.18	2.54	8	2	206.963
332006751	1	4	1	2	99	99	99	20.6	14	2	4.45	3.81	8	2	206.963
332006751	1	5	1	2	99	99	99	20.6	14	2	4.45	4.45	8	2	206.963
333006234	1	1	1	1	99	99	1	18.4	13	2	9994	9994	9	8	216.96
333006234	1	2	1	1	99	99	1	18.4	13	2	9994	9994	9	8	216.96
333006234	1	3	1	1	99	99	1	20.6	14	2	9994	9994	9	8	216.96
333006234	1	4	1	1	99	99	1	20.6	14	2	9994	9994	9	8	216.96
333006234	2	1	1	1	99	99	1	17.2	12	2	9994	9994	9	8	216.96
333006234	2	2	1	1	99	99	1	20.6	14	2	9994	9994	9	8	216.96
333006234	2	3	1	2	0	0	1	9994	99	3	9994	9994	9	8	216.96
333006234	2	4	1	2	0	0	1	9994	99	3	9994	9994	9	8	216.96
333006294	1	1	1	1	0	0	2	9994	99	3	4.45	3.81	9	8	468.821
333006294	1	2	1	1	0	0	2	9994	99	3	5.72	6.35	9	8	468.821
333006294	1	3	1	1	0	0	2	9994	99	3	5.72	5.72	9	8	468.821
333006294	1	4	1	2	0	0	1	9994	99	3	3.81	3.81	9	8	468.821
333006294	1	5	1	2	0	0	1	9994	99	3	4.45	3.81	9	8	468.821
333006374	1	1	1	1	0	0	1	18.4	13	2	3.81	2.86	9	8	756.035
333006374	1	2	1	1	0	0	1	20.6	14	2	4.1	4.13	9	8	756.035
333006374	1	3	1	1	0	0	1	20.6	14	2	2.9	2.9	9	8	756.035
333006374	1	4	1	2	0	0	1	20.6	14	2	3.2	3.18	9	8	756.035
333006374	1	5	1	2	0	0	1	20.6	14	2	2.86	4.13	9	8	756.035
333006374	2	1	1	1	0	0	2	18.4	13	2	3.81	3.18	9	8	756.035
333006374	2	2	1	1	0	0	2	20.6	14	2	3.2	3.8	9	8	756.035
333006374	2	3	1	1	0	0	2	20.6	14	2	4.45	3.2	9	8	756.035
333006374	2	4	1	2	0	0	2	20.6	14	2	3.2	3.2	9	8	756.035
333006374	2	5	1	2	0	0	2	20.6	14	2	4.45	3.8	9	8	756.035
333006454	2	1	1	1	0	0	1	18.4	13	2	4.45	2.86	9	8	756.035
333006454	2	2	1	1	0	0	1	20.6	14	2	2.86	3.81	9	8	756.035
333006454	2	3	1	1	0	0	1	20.6	14	2	3.81	4.76	9	8	756.035
333006454	2	4	1	2	0	0	1	20.6	14	2	5.08	3.18	9	8	756.035
333006454	2	5	1	2	0	0	1	20.6	14	2	4.45	4.13	9	8	756.035
