CaseID	VehicleNumber	AirbagNumber	OccupantNumber	SeatRow1	SeatLocation1	SeatRow2	SeatLocation2	AirbagLocation	AirbagStatus	AirbagType	Depowered	Deployment	AirbagFailure	SwitchType	SwitchStatus	FlapsOpen	FlapsDamaged	AirbagDamage	DamageSource	PriorCrashes	PriorMaintenance	CDC	ContactOther	PSU	PSUStrata	RATWeight
350006774	1	3	1	1	1	9	9	5	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
350006774	1	4	2	1	3	9	9	5	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
350006774	2	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
350006794	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	79	10	12.701
350006854	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	79	10	6.74
350007075	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	79	10	6.74
350007155	1	1	1	1	1	9	9	1	1	4	1	7	99	0	7	60	60	60	60	9	9	60	60	79	10	2.424
350007220	1	1	2	1	3	9	9	2	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	79	10	12.701
350007220	1	2	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	79	10	12.701
350007242	1	1	2	1	3	9	9	2	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	79	10	6.74
350007242	1	2	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	79	10	6.74
350007302	1	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
350007302	1	2	1	1	1	9	9	5	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	79	10	6.74
350007322	1	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	79	10	12.701
350007389	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	2	0	79	10	12.701
350007389	2	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	79	10	12.701
350007389	2	2	1	1	1	9	9	5	1	4	0	1	0	0	7	0	0	0	50	9	9	2	0	79	10	12.701
350007389	2	3	1	1	1	9	9	7	1	4	0	1	0	0	7	1	0	0	50	9	9	2	0	79	10	12.701
351006367	2	1	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	81	11	38.971
495004746	1	1	1	1	1	9	9	1	1	4	1	1	99	0	7	99	99	99	59	1	9	1	0	13	6	243.914
495004746	1	2	99	1	3	9	9	2	1	4	1	1	99	0	7	99	99	99	59	9	9	99	99	13	6	243.914
495005701	1	1	99	1	3	9	9	2	1	1	0	1	0	0	7	1	0	0	50	9	9	99	0	13	6	133.902
495005701	1	2	1	1	1	9	9	1	1	1	0	1	0	0	7	1	0	0	50	1	0	1	0	13	6	133.902
495005781	1	1	1	1	1	9	9	1	1	1	0	7	0	0	7	60	60	60	60	9	9	60	60	13	6	133.902
610006141	2	1	1	1	1	9	9	1	9	4	1	7	79	0	7	60	60	60	60	9	9	60	60	4	3	53.409
610006141	2	2	1	1	1	1	3	99	9	4	0	7	79	9	8	60	60	60	60	9	9	60	60	4	3	53.409
615003515	2	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	72	4	0
620006446	1	1	2	1	3	9	9	2	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	81	11	38.971
620006446	1	2	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	81	11	38.971
620006446	2	1	2	1	3	9	9	2	1	4	1	1	0	9	8	1	0	0	50	9	9	1	0	81	11	38.971
620006446	2	2	1	1	1	9	9	1	1	4	1	1	0	0	7	1	0	0	50	9	9	1	0	81	11	38.971
620006625	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	81	11	73.431
620006785	2	1	1	1	1	9	9	1	9	4	0	7	99	0	7	60	60	60	60	9	9	60	60	81	11	38.971
620006785	2	2	1	1	1	9	9	99	9	9	99	99	99	9	9	99	99	99	99	9	9	99	99	81	11	38.971
620006787	1	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	81	11	73.431
620006787	2	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	81	11	73.431
636004850	1	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
636004850	2	1	1	1	1	9	9	5	1	1	0	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
636004850	2	2	1	1	1	9	9	1	1	1	1	7	0	0	7	60	60	60	60	9	9	60	60	79	10	6.74
657005006	1	1	1	1	1	9	9	99	9	9	99	99	99	9	9	99	99	99	99	9	9	99	99	4	3	34.364
657005006	1	2	1	1	1	9	9	99	9	9	99	99	99	9	9	99	99	99	99	9	9	99	99	4	3	34.364
